job_titles,cluster
Seo Specialist,11
Creative Project Manager,48
Erp Project Manager,48
Healthcare Project Manager,48
Product Manager,11
Project Consultant,11
Project Manager,48
Customer Assistant,11
Drafter,31
Junior Architect,11
Space Planner,11
Truss Designer,48
Urban Planner,48
Insurance Sales,11
Insurance Sales Representative,11
Life Insurance Agent,48
Java Software Engineer,48
Java Web Developer,31
Junior Developer,31
Performance Analyst,11
Risk Management Analyst,11
Salesforce Business Analyst,11
Data Analyst,11
Database Architect,11
Health Data Analyst,11
Sql Dba,31
Sql Server Dba,31
Shipping Clerk,31
Timekeeper,31
Administration,11
Administrative Director,31
Assistant Administrator,11
Compliance Analyst,11
Front Desk Coordinator,31
Office Clerk,31
Operations Clerk,31
Procurement Clerk,31
Receiver,11
Registration Clerk,11
Registration Specialist,11
Unit Secretary,11
Healthcare Business Analyst,11
Surgery Scheduler,48
Post Office,31
Demand Planner,48
Logistics Coordinator,11
Procurement Agent,11
Purchasing Coordinator,11
Shipping Coordinator,11
Supply Chain Coordinator,11
Supply Coordinator,11
Assignment Editor,11
Front Desk Agent,11
Radio Operator,11
Manual Qa Tester,11
Manual Tester,11
Coldfusion Developer,31
Computer Scientist,31
Drupal Developer,31
Java,31
Java Developer,31
Java Engineer,48
Java Programmer,48
Java Software Developer,31
Home Inspector,31
Biomedical Engineer,48
Biotechnology,11
Environmental Engineer,48
Industrial Organizational Psychologist,11
Accounts Payable,11
Auditor,11
Budget Analyst,11
Collection Agent,11
Collection Representative,11
Collection Specialist,11
Collections Specialist,11
Compliance Auditor,11
Cost Controller,31
Credit Controller,31
Debt Collector,31
Exchange Engineer,48
Financial Engineer,29
Financial Examiner,48
Loan Closer,11
Mortgage Closer,48
Mortgage Loan Closer,48
Processor,11
Trader,31
Treasury Accountant,11
Clinical Analyst,11
Meter Reader,11
Gas Station Attendant,11
Lactation Consultant,11
Ticket Taker,48
Usher,11
911 Dispatcher,31
911 Operator,31
Fingerprint Technician,29
Forensic Examiner,11
Forensic Scientist,11
Intelligence,11
Military Analyst,11
Safety Coordinator,11
Security Technician,29
Skip Tracer,11
Information Analyst,11
Information Specialist,11
Network Systems Administrator,11
Senior Systems Engineer,11
Software Engineer,48
Systems Administrator,11
Systems Analyst,11
Unix Administrator,11
Unix System Administrator,11
Vmware Administrator,11
Windows Administrator,11
Windows System Administrator,11
Registered Dental Assistant,11
Registered Medical Assistant,11
Surgical Assistant,11
Carpet Cleaner,11
Custodian,11
General Laborer,48
Housekeeping Attendant,11
Assembly Line Worker,11
Assembly Worker,31
Forklift,31
Master Control Operator,11
Curriculum Designer,11
Curriculum Specialist,11
Epic Trainer,48
Virtual Teacher,11
3D Modeler,31
Compositor,31
Fx Artist,11
Game Developer,31
Accessioner,11
Autopsy Assistant,11
Certified Surgical Technologist,11
Contact Tracing,11
Director Of Nursing,31
Design Engineer,48
Business Management Consultant,11
General Labor,31
General Worker,48
Tax Analyst,11
Appointment Setter,11
Survey Technician,29
Accountant,11
Claims Auditor,11
Loan Underwriter,48
Tax Accountant,11
Coding Specialist,11
Biztalk Developer,31
Report Analyst,11
Revenue Cycle Analyst,11
Cloud Architect,11
Data Technician,29
Database Specialist,31
Financial Data Analyst,11
Sql Database Administrator,11
Process Server,31
Game Designer,48
Embryologist,11
Medical Office Assistant,11
Customs Broker,31
Import Coordinator,11
Import Specialist,31
Merchandising Coordinator,48
Purchaser,11
Retail Buyer,11
Assistant Producer,11
Communications Consultant,11
Content Producer,31
Clinical Project Manager,48
Environmental Project Manager,48
Clerk,31
Commodity Buyer,11
Infrastructure Analyst,11
Landscape Architect,11
Associate Creative Director,11
Claims Manager,48
Administration Manager,11
Department Assistant,11
Document Specialist,31
Executive Administrator,11
Front Desk Assistant,11
Implementation Specialist,11
Avionics Technician,11
Custodial Worker,31
Dock Worker,31
Facilities Maintenance,11
Fiber Optic Splicer,31
Fiber Optic Technician,29
Analyst,11
Customer Care Representative,31
Proposal Manager,11
Sales Development Representative,31
Mathematician,11
Aerospace Engineer,11
Cad Designer,48
Child Psychologist,11
Criminalist,48
Forensic Engineer,48
Forensic Specialist,11
Security Manager,11
Edi Developer,31
Embedded Software Engineer,48
Financial Systems Analyst,11
Fpga Design Engineer,48
It Security Engineer,11
Linux System Engineer,11
Network Engineer,48
Network Security Engineer,48
Network Support Engineer,48
Network Systems Engineer,48
Senior Systems Analyst,11
System Engineer,48
Systems Engineer,11
Business Controller,11
Delivery Manager,48
Tax Associate,11
Medical Administrative Specialist,11
Tax Professional,11
Insurance Producer,11
Specialist,11
Contracts Manager,48
Billing Manager,48
Sourcing Analyst,11
Auto Sales,11
Inside Sales Associate,11
Inside Sales Representative,11
Insurance Sales Agent,11
National Account Executive,11
Pharmaceutical Sales Representative,11
Sales Account Executive,11
Sales Agent,11
Nurse Aide,11
Nurse Technician,29
Nursing Attendant,11
Traveling Nurse,11
Bookseller,31
Freelance Translator,11
Applications Engineer,11
Digital Marketing,48
Digital Marketing Analyst,11
Digital Marketing Consultant,48
Digital Marketing Coordinator,48
Digital Marketing Manager,48
Digital Marketing Specialist,48
Digital Marketing Strategist,48
Email Marketing Specialist,48
Marketing Automation Specialist,11
Marketing Consultant,11
Marketing Operations Manager,48
Social Media Analyst,11
Social Media Consultant,11
Social Media Marketing,48
Vice President Of Marketing,48
Vp Marketing,48
Business Project Manager,48
Commercial Project Manager,11
Implementation Project Manager,48
Marketing Project Manager,48
Pmo Manager,48
